product, price, location, date
2017 CHEVY CAMARO  DECKLID TRUNK LID,$359, (south gate),Dec  8
Lexus SC GS 300/400  IS 300 TEIN Coilovers,$950, (90660),Dec  8
Support your immune system with all organic ingredients. Many vitamin,$72, (West LA),Dec  8
Nissan 350Z / Infiniti G35 Motor VQ35DE JDM,$1399, (LA JDM Wilmington),Dec  8
BMW E39 540 6 speed manual swap,$1850, (90660),Dec  8
2016 FORD MUSTANG .. REAR BUMPER,$229, (south gate),Dec  8
Industrial Floor Lamps,$350, (Los Angeles),Dec  8
Vintage French Cooking Pot COPPER 7-1/2" solid lined and Colander,$120, (Los Feliz Hollywood SilverLake),Dec  8
Wrought Iron Hanging Planter & Rectangular Planter Box,$25, (Rancho Palos Verdes),Dec  8
Mid Century Modern Tall Ceramic Lamp,$125, (Mar Vista),Dec  8
Sony DVD player,$5, (Porter Ranch),Dec  8
Shop now for your home or great gifts,$0, (FOUNTAIN VALLEY),Dec  8
crown victoria,$475,NA,Dec  8
Ratchets sockets Snap-On extractors,$44, (Hidden Hills),Dec  8
Monopoly California Centers Magazine Edition NEW,$30, (Los Angeles),Dec  8
Vtg. Mid Century -Bronze Sculpture Indian mother & papoose,$65, (granada hills),Dec  8
2020 Dodge Ram 1500 Laramie front bumper,$299, (lynwood),Dec  8
bmw e36 convertible top,$750, (90660),Dec  8
The Beatles Vinyl Record Art,$100, (Los Angeles),Dec  8
5 New Jeep Wrangler Premium Wheels (Rims) and A/T Tires Take Offs NEW,$480, (Santa Clarita),Dec  8
Audi A4 Borla catback exaust system,$650, (90660),Dec  8
Shopkins Season 2 pack & Mini plush toys LOT,$30, (Highland Park),Dec  8
POWER KRAFT ARK WELDER,$160, (Canoga Park),Dec  8
FUTON FUTON FUTON!!  COUCH/SOFA/BED,$0, (FOUNTAIN VALLEY),Dec  8
2019 Ford F350 doolie passenger side rear quarter panel fender,$399, (south gate),Dec  8
Mazda Miata LSD,$450, (90660),Dec  8
The North Face full-zip jacket size small Cedar brown,$30, (Highland Park),Dec  8
JVC XL-FZ258BK - 5 Disc CD Carousel Changer Player,$60, (Burbank),Dec  8
Sectional Couch & Chair,$1500, (North Redondo Beach),Dec  8
Dining Table + 4 chairs,$350, (Walnut CA),Dec  8
Mazda Miata Jackson Racing Manifold,$450, (90660),Dec  8
Sheaffer School Fountain Pens Lot of 3,$40, (Los Angeles),Dec  8
Futon (Couch/sofa) opens to a bed.... great sofa/couch,$0, (FOUNTAIN VALLEY),Dec  8
Sony PlayStation PS5 disc version in hand - $950 (Santa Fe Springs),$950, (Santa Fe Springs),Dec  8
Laura Ashley "Ribbons" Cotton Ball Jar. Made in England,$30, (Los Angeles),Dec  8
Mazda Miata LSD,$650, (90660),Dec  8
2017 MERCEDES GLA FRONT LOWER VALANCE BUMPER TRIM,$99, (lynwood),Dec  8
10.5 men's On cloud running shoe used once,$60, (Highland Park),Dec  8
1996 TOYOTA CAMRY LE 3.0L V6  only 165895 mi,$1800, (Gardena),Dec  8
JDM Toyota 5VZ Engine 3.4L 1996-2004 4Runner T100 Tacoma 5VZ-FE,$1499, (LA JDM Wilmington),Dec  8
How about some new small sized appliances?,$0,NA,Dec  8
UVS100 Coversraft Sun screen for Porche,$60,NA,Dec  8
Handblown Glasses Tortoise Leopard Design,$22, (Los Angeles),Dec  8
Salt Lamp with dimmer switch,$30, (Granada Hills),Dec  8
BRAND NEW Household Items,$0,NA,Dec  8
2019 Volkswagen Atlas driver side headlamp,$129, (south gate),Dec  8
Vintage Mid Century White & Wood base Lamp,$30, (Los Angeles),Dec  8
2003 FREIGHTLINER FL70 26' CREW CAB GRIP BOX TRUCK CUMMINS LIFTGATE,$29500, (GARDENA/ LOS ANGELES DELIVERY),Dec  8
AUTO REPAIR SHOP IN TORRANCE W/ 3 LIFTS/BAYS (BUSY LOCATION+ CASH FLOW,$39000, (TORRANCE),Dec  8
Mono Gig Bag Professional Level OM Classical Acoustic Guitar Electric,$150, (El Sereno),Dec  8
Notice:  SurfMonster.com,$0, (Torrance),Dec  8
Vtg Mid Century 1968 PAUL BLAINE HENRIE Clown PAINTING Listed Artist,$60, (Ventura),Dec  8
2018 TESLA MODEL 3 .. RACK AND PINION,$299, (south gate),Dec  8
3 LA Kings Hockey Sticks Signed Team Signed Tsyplakov Commemorative,$250, (Rancho Palos Verdes),Dec  8
Eurorack Modules and Cases,$0, (Los Angeles),Dec  8
Sonos Play 1: Great Condition,$115, (Belmont Shore),Dec  8
1968 Toyota Corona hubcaps,$1, (Sgv),Dec  8
Motorola Admiral (Sprint) XT603,$37, (Van Nuys),Dec  8
Vasa Velizar Mihich Colorful Acrylic Triangle Pyramid Sculpture Signed,$250, (Rancho Palos Verdes),Dec  8
REI Camp Bed self-inflating sleeping pad NEW,$70, (Highland Park),Dec  8
Pepsi Can Airplane,$25, (Monterey Park),Dec  8
Combi-Intl Savvy EX Stroller Excellent condition blue and green,$35, (Woodland Hills),Dec  8
1972 FJ40 Land Cruiser,$9999, (Palos Verdes),Dec  8
2019 Honda Clarity Rear Lower Bumper Valance,$159, (south gate),Dec  8
WELCOME Pack Rabbit 8.5 Skateboard Deck Flourescent RED Cool!,$50, (El Sereno),Dec  8
Off-road Front and Rear Bumpers,$250, (Hanford),Dec  8
Toro 51621 UltraPlus Leaf Blower Vacuum,$60, (Canyon Country),Dec  8
Cannondale-Racing 400 Aluminum 25" Frame 700 tires 10 speeds,$400, (Rancho Palos Verdes),Dec  8
Honda Civic Stereo Speakers,$160, (Car speakers Civic Honda),Dec  8
2018 Tesla Model 3 ...  passenger side inner tail lamp,$99, (south gate),Dec  8
Santa Clause St Nick Christmas Figure Dressed For North Pole,$25, (El Sereno),Dec  8
Apple iPhone,$50, (Beverly Hills),Dec  8
Vivobarefoot Ra II Men's shoe NEW,$130, (Highland Park),Dec  8
Wanted Gopro Hero 9 black camera,$0, (Los Angeles),Dec  8
Defender 110 Turbo Diesel 5 Speed,$26900, (Lancaster),Dec  8
2015 Honda Accord Hybrid Touring,$15500,NA,Dec  8
Large Custom Wooden USS United States Sailing Ship,$200, (Rancho Palos Verdes),Dec  8
1999 Honda civic,$650, (La Mirada),Dec  8
Acura TSX K24A RBB Motor Engine 2.4L IVTEC Low Miles,$649, (Wilmington),Dec  8
2014 HYUNDAI VOLESTER .. REAR BUMPER,$399, (lynwood),Dec  8
DELL 1210S DLP PROJECTOR WITH PROJECTOR SCREEN,$60, (Burbank),Dec  8
Bugs Bunny Looney Tunes Glasses Tumblers 1990 50th Anniversary Warner,$25, (El Sereno),Dec  8
Big Agnes Sleeping Giant Memory Foam Pad 20 x 78,$25, (Highland Park),Dec  8
NEW SHARP CAROUSEL R-5100K MICROWAVE OVEN,$40, (Burbank),Dec  8
Audio Technica AT4047 SV Condensor Mic & Case,$450, (El Sereno),Dec  8
2013 Honda Accord Sport,$9500,NA,Dec  8
Casio Piano Keyboard,$50, (Van Nuys),Dec  8
2018 Toyota Prius Prime Hood,$299, (south gate),Dec  8
Scotts 76121 Turf Builder EdgeGuard Mini Broadcast Spreader,$20, (Canyon Country),Dec  8
HoMEDICS Cordless 3D Trutouch Neck And Shoulder Massager With Heat,$40, (El Sereno),Dec  8
BRAND NEW BROAN 521D (52") CEILING FAN,$20, (Burbank),Dec  8
Wanted 17 inch Laptop in like new condition,$0, (Los Angeles),Dec  8
Disney WDI Haunted Mansion Holiday Nightmare Ride Through Series #2 LE,$170, (Rancho Palos Verdes),Dec  8
DECOLAV 1597T-WH Miami 15mm Tempered Glass Vessel Sink Frosted White,$25, (Burbank),Dec  8
2015 PJ Trailers Tilt Deck Equipment Trailer,$5000, (Lake Elsinore),Dec  8
Better Vintage Ring,$875,NA,Dec  8
Master Lock Push Button Lock Box New,$10, (Highland Park),Dec  8
SPARE TIRE INFLATING PUMP & REPAIR MASERATI GHIBLI QUATTROPORTE,$229, (south gate),Dec  8
JUDGE "JOE BROWN" POKER CHIP SET,$10, (Burbank),Dec  8
Hyacinthe Kuller (Baron) Original Oil Painting Early 1970's,$0, (Hawthorne CA),Dec  8
US Army Military Issue Heavy Duty from 1990s,$40, (Rancho Palos Verdes),Dec  8
NEW:  Slow Cooker Rice Cooker Pizza Maker/Electric Skillet...,$0, (FOUNTAIN VALLEY),Dec  8
SINGLE TECHNICS SB-LX90 2OO WATTS FLOOR STANDING SPEAKERS,$40, (Burbank),Dec  8
Good condition Whirlpool side-by-side refrigerator filter ice water di,$275, (NORTHRIDGE),Dec  8
Honda Ridgeline Pilot Engine J35A 3.5L AWD 4X4 JDM J35 Engine,$1399, (409 Figueroa St Wilmington CA 90744),Dec  8
2018 Chevy Traverse lift gate,$399, (south gate),Dec  8
BRAND NEW EXERCISE BENCH IN BOX SEALED,$20, (Burbank),Dec  8
Official Disney Store Nightmare Before Christmas Sally Adult Costume,$50, (Rancho Palos Verdes),Dec  8
Pupgs,$750,NA,Dec  8
S E W,$0,NA,Dec  8
Final Fantasy X (PlayStation 2 2001),$10, (Burbank),Dec  8
Vintage Sunset Magazine DIY How To,$0, (Los Angeles),Dec  8
2017 Ford Explorer  ..  Hood,$259, (south gate),Dec  8
VINTAGE RODEO MUSIC CORP. CLASSICAL GUITAR,$30, (Burbank),Dec  8
Foot Spa with Massaging Bubbles & Heat,$10, (Van Nuys),Dec  8
Miata Rims OEM Very Clean,$1, (SGV),Dec  8
Austin Healey Buggeye Sprite Doors,$1, (sgv),Dec  8
Printer,$300, (Toluca Lake),Dec  8
MacBook,$120, (Venice),Dec  8
2017 JEEP CHEROKEE GRAND PASSENGER SIDE HEADLAMP,$159, (south gate),Dec  8
Wrought iron patio set - Metal Outdoor set,$250,NA,Dec  8
Malibu Game of Fame & Fortune BRAND NEW SEALED,$10, (Burbank),Dec  8
dispensary and grower equiptment - Give us offers (Sherman Oaks),$0, (Sherman Oaks),Dec  8
Honda Accord Engine/Motor 2.4 K24A Element 2003 - 2007,$499, (Wilmington),Dec  8
Antique 1900s 1920s Ads 'The Home Needle Case' / Warners Corsets,$25, (Monterey Park),Dec  8
2006 CHRYSLER 300 XENON .. PASSENGER SIDE HEAD LAMP,$259, (south gate),Dec  8
Weight Bench & Steel Free Wights,$160,NA,Dec  8
Foot Spa with Massaging Bubbles & Heat,$10, (Van Nuys),Dec  8
SU Carburetors Austin Healey Buggeye Sprite or MG,$1, (SGV),Dec  8
🐎-🐎-🐎 BEAUTIFUL WESTERN SADDLE 🐎-🐎-🐎,$850, (Pacific Palisades),Dec  8
Washer Kenmore 80 Series,$180, (Inglewood),Dec  8
Mid century modern walnut dresser,$525, (10950 tuxford st sun valley CA),Dec  8
Samsung Galaxy Note 4 SM-N910P SPRINT UNLOCKED,$65, (Van Nuys),Dec  8
Tables,$80,NA,Dec  8
Austin Healey Buggeye Sprite Front Grill,$1, (SGV),Dec  8
Nissan Xterra/Frontier wheel,$120, (Monrovia),Dec  8
2020 DODGE RAM BIG HORN CHARGE AIR COOLER,$399, (south gate),Dec  8
VTG 1980 LYRA Sport-Billy Sport Billy Active Doll TV Star Greek Europe,$80, (South Pasadena),Dec  8
11-drawer Dresser Chest Tallboy Chest | Magnolia Home,$300, (South Pasadena),Dec  8
Fiat 500 POP,$5800, (Los Angles),Dec  8
Toyota 2JZ GTE VVTI Engine Low Miles Complete Swap,$6700, (LA JDM Wilmington),Dec  8
BEST PLACE TO SELL YOUR APPLIANCES (WASHER DRYER STACKABLE...),$0, (OC/LA/IE),Dec  8
2010  CHEVY VETTE  ... PASSENGER QUARTER PANEL,$299, (south gate),Dec  8
Excellent Tenured Great Paying Pool Service Route Accounts,$169000, (La Canada),Dec  8
New Dragon Artwork Wood Box,$8, (Monterey Park),Dec  8
LED NAIL UV LAMP,$10, (Van Nuys),Dec  8
1968 Toyota Corona Air Pump,$1, (Hacienda heights),Dec  8
Vintage orange Hollywood regency style credenza,$350, (10950 tuxford st sun valley CA),Dec  8
Gigabyte P850GM 850W 80+ Gold PSU,$120,NA,Dec  8
Set of 9 English Wedgwood Enoch - Marquess Dinner Plates (Mid Century),$30, (Monterey Park),Dec  8
Mediterranean Style Wooden Candle Holders with Floral Motifs,$35,NA,Dec  8
2014 Porsche Cayenne S Sports rear bumper and lower Valance,$199, (south gate),Dec  8
2014 Official WPT World Poker Tour 300 Chip Deluxe Poker Set Poker,$80, (South Pasadena),Dec  8
Baker Skateboard Deck Andrew Reynolds Black/White Logo Deck Baker Reyn,$50, (South pasadena),Dec  8
Kryptonics Skateboard Cruiser Board BARELY USED,$60, (South Pasadena),Dec  8
Provo Craft Cricut Cake Electronic Cutting Machine CCA001,$60, (South pasadena),Dec  8
Sony Metal SR 60min Metal Bias Type IV Blank Cassette Tape,$10, (Downey),Dec  8
Santa Cruz Star Wars Darth Vader skateboard,$300, (Encino),Dec  8
Miata Rims OEM Very Clean,$1, (SGV),Dec  8
Mid century vintage console,$1100, (10950 tuxford street sun valley CA),Dec  8
2017 Toyota Corolla SE front bumper,$259, (south gate),Dec  8
Toyota Tacoma T100 4Runner Engine Motor 5VZ V6 3.4L 1996 - 2004,$1499, (LA JDM Wilmington),Dec  8
2 Vintage French Limoges Plates - 1 New with Box ($10 for pair),$10, (Monterey Park),Dec  8
Coleman CT200U Mini Bike,$425, (La Puente),Dec  8
Wood Carved dining room chairs,$100, (Monrovia),Dec  8
2017 Tesla Model X driver side headlamp,$199, (south gate),Dec  8
WaterBuffalo Horn,$40, (Santa Monica),Dec  8
Pampered Chef Coffee Carafe Cupcake Bakeware Cookbook Measuring tool,$5, (Rancho Palos Verdes),Dec  8
2016 Subaru WRX passenger side front door,$159, (south gate),Dec  8
2019 Jaguar Type XE rear bumper diffuser,$99, (south gate),Dec  8
Appliances for your kitchen and home,$0,NA,Dec  8
roof rack w/keys,$50, (Lakewood ca),Dec  8
2019 HONDA CIVIC SEDAN DRIVER SIDE REAR QUATER PANBEL,$299, (south gate),Dec  8
Toyota Tacoma T100 4Runner Engine Motor 5VZ V6 3.4L 1996 - 2004,$1499, (LA JDM Wilmington),Dec  8
Hydrometer,$10, (Sun Valley),Dec  8
Great Futon -- perfect couch sofa extra bed,$0, (FOUNTAIN VALLEY),Dec  8
Sell Your Collection.  Buying vintage toys New collections and more,$0, (Cash Payment if Desired),Dec  8
ECM FOR 91' Toyota Celica Manual Trans,$30, (Santa Monica),Dec  8
Midcentury Modern Bookshelf,$385, (Burbank),Dec  8
2016 2017 Volvo XC90 Rear Bumper Lower Valance Diffuser Moulding,$129, (lynwood),Dec  8
S E W,$0,NA,Dec  8
Jacobsen style Egg chair,$275, (10950 tuxford st sun valley CA),Dec  8
Toyota Tacoma T100 4Runner Engine Motor 5VZ V6 3.4L 1996 - 2004,$1499, (LA JDM Wilmington),Dec  8
PS4 Pro (Factory Recertified) - 1TB,$240, (Los Angeles),Dec  8
FUTON (Sofa) turns into a bed washable cover!,$0,NA,Dec  8
chevy step side camper shell 1988 2000,$300, (Lakewood ca),Dec  8
Antique American Oak Secretary Desk Display Glass Cabinet Bureau,$350, (Thousand Oaks),Dec  8
Rare Pepsi Cola Empty Can ( Year 1986 ),$45, (South Pasadena-El Sereno-Downtown LA),Dec  8
Incredible Set of Four Mid-Century Modern Dining Chairs Regency,$2000, (Burbank),Dec  8
2006 - 2007 InfinitG35 Coupe Passenger Side Headlamp HID Xenon w Bulb,$299, (south gate),Dec  8
Queen Sheets... brand new,$0,NA,Dec  8
Area Rug,$60, (Walnut CA),Dec  8
Honda CRF450X,$4250, (Cerritos),Dec  8
Two Gene Boyer Vintage Paintings.,$600, (South Pasadena-Pasadena-El Sereno),Dec  8
SPARE TIRE INFLATING PUMP & REPAIR MASERATI GHIBLI QUATTROPORTE,$229, (south gate),Dec  8
Embroidered DECORATIVE WALL ART room Decoration pink girl Sweet Dreams,$15, (Canoga Park),Dec  8
Vintage Round Black Side Table,$175, (Jefferson Park),Dec  8
New Cable & U-Lock,$20, (Santa Monica),Dec  8
Pink Vintage Teapot,$20, (Los Angeles),Dec  8
Mid Century style walnut petite credenza,$300, (10950 tuxford street sun valley CA),Dec  8
radio shack metal detector,$50, (Lakewood ca),Dec  8
Warner Bros. Animaniacs Hand Signed Framed Storyboard Gallery Art,$650, (Santa Clarita),Dec  8
(Wheels Rims Tires),$1,NA,Dec  8
The CAT in the HAT COMES BACK BY Dr. Seuss,$60, (El Sereno-South Pasadena),Dec  8
women's greenline 7 speed beach cruiser with basket,$165, (Lakewood ca),Dec  8
Silver iPod w/ 126 Gig SSD drive excellent condition w/ USB cable,$175, (Valley Village),Dec  8
2016 TOYOTA YARIS HATCH BACK ... FRONT BUMPER,$159, (south gate),Dec  8
--> Stunning IROC Wheelset on s@le,$1,NA,Dec  8
Auto Steering wheel puller,$9, (Hidden Hills),Dec  8
Vintage Pair of Carnival Cruises Medals - 30th anniversary,$6, (Monterey Park),Dec  8
Door table top plastic shelves,$0,NA,Dec  8
2017 2018 2019 Kia Niro Touring Plug-In Hybrid Rear Bumper Cover,$459, (south gate),Dec  8
Classic WB Hanna Barbera Tex Avery 1940s Sericel Framed Numbered,$50, (Santa Clarita),Dec  8
New bed sheets,$0,NA,Dec  8
Silver iPod w/ 126 Gig SSD drive excellent condition w/ USB cable,$175, (Valley Village),Dec  8
" Ying Yang " Limited Edition Collector's Plate.,$15, (El Sereno-South Pasadena),Dec  8
Vintage Hollywood Regency Floor Lamp End Table,$150, (Burbank),Dec  8
LG Soundbar,$200,NA,Dec  8
24 inches Monitors (4 available),$25,NA,Dec  8
Hebe "Titan 2"  (SAFE)  Dry Herb Vaporizer NEW,$25, (Santa Monica),Dec  8
2020 GMC Denali Sierra rear hitch,$179, (south gate),Dec  8
Toyota 2JZ GTE VVTI Engine Low Miles Complete Swap,$6300, (LA JDM Wilmington),Dec  8
Toaster,$10,NA,Dec  8
Bell Bike rack,$15,NA,Dec  8
Pizza Maker/Electric Skillet Slow Cooker Rice Cooker...,$0, (FOUNTAIN VALLEY),Dec  8
Midas M32 LIVE 40-channel Digital Mixer,$3500, (Camarillo),Dec  8
"IL Latini " Ristorante in Firenze Decorative Plate by R. Marma,$20, (El Sereno-South Pasadena),Dec  8
9.7lbs Amethyst Geode Crystal,$299,NA,Dec  8
Large Matching Pair Amethyst Geode Towers,$1200,NA,Dec  8
Giro adult bike helmets,$15,NA,Dec  8
Gold frame fower nature wall art decor,$20,NA,Dec  8
Lamp,$10,NA,Dec  8
Psychedelic Star wars shirt,$22, (Los angeles),Dec  8
Black Onyx ipods wireless earbuds,$35,NA,Dec  8
$10 New in box Brake Pads,$10,NA,Dec  8
Vintage Cowboy Boots,$50, (Los angeles),Dec  8
Huajatolla by Kristen F. Naeyaert,$35, (El Sereno-South Pasadena),Dec  8
Vacuum,$10,NA,Dec  8
Micro mini scooter,$20,NA,Dec  8
2012 LINCOLN MKT .. PASSENGER FENDER,$299, (south gate),Dec  8
Seagate FreeAgent GoFlex Desktop drive 2 TB,$50, (N. Hollywood),Dec  8
5 New Jeep Wrangler Premium Wheels (Rims) and A/T Tires Take Offs NEW,$480, (Santa Clarita),Dec  8
SCHECTER TEMPEST CUSTOM,$425, (Studio City),Dec  8
Pair of Amazing Vintage Art Deco Table Lamps - Rare!,$400, (Burbank),Dec  8
Stanley 13 Piece Mechanics Tool Set Through Hole Ratchet Drive,$20, (Redondo Beach),Dec  8
Pampered Chef Simple Additions Serving Platters Bowls Salad Plates,$20, (Rancho Palos Verdes),Dec  8
Queen Size Mattress,$20, (Marina Del Rey),Dec  8
2016 Scion FRS passenger side door,$359, (south gate),Dec  8
Seagate FreeAgent GoFlex Desktop drive 2 TB,$50, (N. Hollywood),Dec  8
GX470 Rear Air Springs Suspension,$150,NA,Dec  8
Vintage Pair of Gopher Traps California Pocket Trap and Victor,$12, (Monterey Park),Dec  8
Entertainment Center with Electric Fireplace,$500, (Woodland Hills),Dec  8
5 New Jeep Wrangler Premium Wheels (Rims) and A/T Tires Take Offs NEW,$480, (Santa Clarita),Dec  8
Bee Gees " Saturday Night Fever " 20 Anniversary CD.,$20, (El Sereno-South Pasadena),Dec  8
Fabulous Queen Anne Leg Dininsg Tavble in Black Finish,$400, (Jefferson Park),Dec  8
Front Suspension Shock,$100,NA,Dec  8
Whirlpool Mini Fridge with Freezer,$40, (Burbank),Dec  8
Restoration Hardware leather Chesterfield sofa Kensington couch chair,$2700, (Beverly Hills free delivery),Dec  8
Futon and more,$0, (FOUNTAIN VALLEY),Dec  8
2018 AUDI A5 SPORTSBACK DRIVER SIDE ROCKER PANEL,$199, (south gate),Dec  8
Mid-century Modern Pop Art Wall Art Curtis Jere,$450, (Burbank),Dec  8
265 65 17 tire & 17" Rim GX470 4Runner Tacoma tire,$400,NA,Dec  8
Fiberwerx Off-road Fiberglass Fenders,$300, (Hanford),Dec  8
Locking gas cap w/ 2 keys f/ GM vehicles,$10, (Valley Village),Dec  8
USED Wireless Router ASUS RT-AC66U,$40, (LONG BEACH),Dec  8
The totally healthy person by Harvey Diamond,$45, (El Sereno-South Pasadena),Dec  8
FUTON (Couch/Sofa) that opens to a bed,$0,NA,Dec  8
Beautiful Seatcraft Rialto Movie Theater Seating,$350, (Granada Hills),Dec  8
Yamaha RX -v490 Stereo Sound Surround Receiver,$65, (Temple City),Dec  8
Haolgen back up light bulbs,$5, (Valley Village),Dec  8
2015 BENZ S CLASS REAR BUMPER REBAR,$159, (south gate),Dec  8
Futon (Sofa/Couch -- extra bed..Queen Sheet Sets and Appliances..,$0,NA,Dec  8
Sony HDX589w DVD Home Theater System with S-Air Surround,$150, (La Canada),Dec  8
BRAND NEW Household Items,$0,NA,Dec  8
The Black Stallion by Walter Farley,$35, (El Sereno-South Pasadena),Dec  8
2017  Honda Pilot driver  side fender,$169, (south gate),Dec  8
Get these for your kitchen,$0,NA,Dec  8
Samsung S6 Unlocked Gold (Sprint),$80, (Van Nuys),Dec  8
Samsung network extender,$30, (Culver City),Dec  8
Things for your home...,$0, (FOUNTAIN VALLEY),Dec  8
2016 Triumph Thruxton 900 | Brooklands Green | 5k miles | One Owner,$7499, (Onyx Moto/ E-Z Financing/ We Buy Bikes),Dec  8
ABC For Book Collectors by John Carter,$15, (El Sereno-South Pasadena),Dec  8
Wow! vintage desk wood and wrought iron base antique !👀,$550, (Beverly Hills free delivery!),Dec  8
Midcentury Modern Last Supper Metal Relief Wall Art,$450, (Burbank),Dec  8
2017 Alfa Romeo giulia front bumper upper grill,$199, (south gate),Dec  8
Beautiful Leather sofa Cigar Brown Chesterfield tufted couch!,$2100, (Beverly Hills free delivery),Dec  8
256 Gig SSD Apple iPod silver excellent condition bundle,$225, (North Hollywood),Dec  8
22 inch wheels & tires,$200, (Los Angeles),Dec  8
Invitation to the Dance by Hilary Spurling,$20, (El Sereno-South Pasadena),Dec  8
Selle Italia SLR Gel Flow Saddle - EXCELLENT CONDITION,$60, (Tarzana CA),Dec  8
256 Gig SSD Apple iPod silver excellent condition bundle,$225, (Valley Village),Dec  8
LG TV + Apple TV device + charging cables,$50, (Culver City),Dec  8
2015 PORSCHE BOXSTER .. FRONT  BUMPER,$199, (south gate),Dec  8
Tea Pot Pooh House with Marble Base,$55, (Agoura Hills),Dec  8
Allen Wrenches,$14, (Hidden Hills),Dec  8
Two Gene Boyer Vintage Paintings.,$600, (South Pasadena-Pasadena-El Sereno),Dec  8
DISINFECTANT 1-Quart 95% Alcohol,$20, (Santa Monica),Dec  8
Car seat MONITOR NB-36 mo BEDDING RAIL stroller booster,$1, (WEST LA),Dec  8
Fine art Scottsdale Arizona,$0,NA,Dec  8
Midcentury Modern Desk Chair,$1150, (Burbank),Dec  8
Tortilla Flat ( 1947 New Illustrated Edition ) by John Steinbeck,$20, (El Sereno-South Pasadena),Dec  8
36 VHS kids tapes!!!! Including classics,$20, (Santa Monica),Dec  8
2020 GMC Sierra Denali tailgate lower part,$399, (south gate),Dec  8
Victorian Mahogany & Rosewood console,$449, (Calabasas),Dec  8
New Patent Leather Trench Coat,$30, (Culver City),Dec  8
Seeking to Purchase a Small Property Management Company,$1,NA,Dec  8
Radial Passenger Tire Chains - SC1026,$25, (Santa Monica),Dec  8
Household items:  brand new,$0,NA,Dec  8
Rare Pepsi Cola Empty Can ( Year 1986 ),$45, (South Pasadena-El Sereno-Downtown LA),Dec  8
Pair of Hollywood Regency Midcentury Modern Cesca Dining Chairs,$950, (Burbank),Dec  8
Nice set of 1965  Ford 289 connecting rods,$100, (Glendora),Dec  8
2019 Chevy Malibu pair of suspensions,$599, (south gate),Dec  8
Presonus HP4 Headphone Mixer Amplifier,$60, (Tarzana CA),Dec  8
NEW .... FOR YOU,$0,NA,Dec  8
Mexican Pewter Leaf Design Salad Serving Bowl with Serving Spoon Fork,$50, (Rancho Palos Verdes),Dec  8
islands of love portrait of the trobriand islands by kurt pfund,$25, (El Sereno-South Pasadena),Dec  8
DeLonghi Pinguino portable AC unit,$150, (Los Angeles),Dec  8
NEW 6pk Revolution Dog Flea Protection (10-20lb) 6 MO SUPPLY!,$60, (Los Angeles),Dec  8
Hardly used over the years PS 2 for sale,$0,NA,Dec  8
Japanese Figurine Celsius Themometer,$6, (Monterey Park),Dec  8
NEW 6pk Revolution Dog Flea Protection (40-85lb) 6 MO SUPPLY!,$80, (Los Angeles),Dec  8
FREE SCOBY,$0, (Culver City),Dec  8
" The Reprise Collection " Four CD Set by Frank Sinatra.,$25, (El Sereno-South Pasadena),Dec  8
for your home kitchen office....,$0,NA,Dec  8
TRULOK COUNTERSINK DIA. GAGE,$250, (WEST PALMDALE),Dec  8
GIRLS SIZE 10 SHOES,$25, (Los Angeles),Dec  8
Comfortis dog flea treatment 60-120 pound dog,$50, (Temple city),Dec  8
2012 Fiat 500 Coupe radiator core support,$299, (south gate),Dec  8
Stroller Car Seat Graco Bedding Clothes Shoes NB-4 yr Monitor Rail,$1, (West LA),Dec  8
Wow Toys Dustin Dump Truck Toy,$20, (Arcadia),Dec  8
Siberian husky,$300,NA,Dec  8
DOCKATOT GRAND Carrera Marble Print Sold Out,$190, (Arcadia),Dec  8
Car seat MONITOR NB-36 mo BEDDING RAIL stroller booster,$1, (WEST LA),Dec  8
2019 Chevy Camaro LE SS driver side fog lamp bezel,$79, (south gate),Dec  8
NEW 6pk Revolution Dog Flea Protection (85 -130lb) 6 MO SUPPLY!,$90, (Los Angeles),Dec  8
Mexican Pewter Square Candy Dish with Beautiful Spiral Designs,$20, (Rancho Palos Verdes),Dec  8
Advances in VIRUS RESEARCH ( 90 ) Edited by Loebenstein & Katis,$20, (El Sereno),Dec  8
NEW 6pk Revolution Dog Flea Protection (20-40 lb) 6 MO SUPPLY!,$70, (Los Angeles),Dec  8
Vintage Bed Frame 4 post,$99, (Walnut),Dec  8
Trek Bike - Kids/Teens - 24 inch wheels,$95, (Venice),Dec  8
PS2 (Play Station 2) new queen sheets small kitchen appliances,$0,NA,Dec  8
Kids Electra 20 inch bike,$180, (South Pasadena),Dec  8
2019  FORD F150 .. GRILL,$199, (south gate),Dec  8
Antique. Tall Secretary Desk Drop Top with Hutch. Claw Feet,$280, (Woodland Hills),Dec  8
Quite alot for sale... check it out,$0,NA,Dec  8
USED Wireless Router ASUS RT-AC1200,$20, (Long Beach),Dec  8
Nureyev An Autobiography with Pictures By Richard Avedon and others,$20, (El Sereno-South Pasadena),Dec  8
BRAND NEW Household Items and a Futon that opens to a bed,$0,NA,Dec  8
Frenchies,$1, (HAWTHORNE),Dec  8
Patagonia R2 medium wetsuit,$200,NA,Dec  8
Vintage Boho Bohemian Mid Century MCM McGuire San Francisco Lounge Bamboo Chairs,$400, (Whittier),Dec  8
FUTON (Couch/Sofa) turns into a bed washable cover!,$0,NA,Dec  8
Vintage 70s ROOT Pendulus Supreme X198 Shakespeare ARCHERY Bow  24# RH,$180, (Sylmar),Dec  8
